%% Title: Database for predicting chess outcomes

@relation chess

@attribute material       REAL
@attribute attack-value   REAL
@attribute mobility       REAL
@attribute space          REAL
@attribute class          {1-0, 0-1, 1/2-1/2, *}

@data
38,5,37,4,1-0
32,8,35,4,1/2-1/2
31,10,41,7,0-1
35,13,39,14,1/2-1/2
36,9,38,11,0-1
31,11,41,14,1/2-1/2
35,4,36,4,0-1
37,10,47,13,1/2-1/2
38,10,40,11,1/2-1/2
34,3,38,4,1-0
31,4,29,4,0-1
31,10,45,13,1-0
29,5,37,9,1/2-1/2
35,8,45,10,1-0
35,3,30,2,1/2-1/2
34,9,55,17,1-0
38,6,39,7,1-0
39,2,41,4,0-1
32,7,52,12,1-0
37,13,41,16,1/2-1/2
35,4,38,8,1-0
38,2,36,4,1-0
36,5,42,8,1-0
32,1,36,5,0-1
39,6,38,5,1/2-1/2
32,4,35,2,1-0
39,4,39,5,1/2-1/2
30,13,44,8,1/2-1/2
34,11,53,22,1/2-1/2
32,6,37,4,1-0
36,8,33,5,1-0
37,4,38,8,1-0
38,6,54,13,1/2-1/2
39,3,34,6,1-0
35,8,43,10,1/2-1/2
35,6,44,10,1-0
34,8,27,4,1/2-1/2
34,9,45,14,1-0
34,3,40,8,0-1
33,3,30,4,1/2-1/2
34,7,38,13,1/2-1/2
39,5,34,9,0-1
26,5,34,7,1/2-1/2
35,5,46,13,1/2-1/2
38,3,26,2,0-1
33,11,52,18,1-0
32,7,32,7,1/2-1/2
33,8,39,7,0-1
28,7,53,14,1-0
36,4,30,4,0-1
35,8,43,9,1-0
35,7,44,10,1-0
35,7,36,9,1-0
36,2,31,3,1-0
39,7,32,11,0-1
32,9,46,12,1/2-1/2
34,5,51,12,0-1
32,16,34,12,0-1
34,8,32,6,1-0
32,5,35,3,1/2-1/2
32,5,36,6,1/2-1/2
33,3,32,3,0-1
35,4,38,9,1-0
38,4,45,8,0-1
38,11,41,14,1/2-1/2
38,9,46,6,1/2-1/2
35,4,33,3,1/2-1/2
34,5,37,5,1-0
31,14,31,13,1/2-1/2
39,6,45,11,1-0
25,12,29,5,1-0
35,3,36,7,1/2-1/2
34,7,40,7,0-1
34,12,49,17,1/2-1/2
35,3,45,11,1/2-1/2
32,13,41,12,0-1
35,10,46,13,1/2-1/2
32,10,39,12,1-0
39,7,35,8,1/2-1/2
31,8,40,9,1-0
35,7,43,9,1-0
32,9,38,8,1/2-1/2
34,8,39,8,1/2-1/2
39,5,34,7,1/2-1/2
37,3,39,5,1/2-1/2
35,12,36,12,1/2-1/2
36,5,49,17,1/2-1/2
38,5,38,6,0-1
35,4,33,1,0-1
35,10,40,11,1-0
32,6,32,2,1-0
34,11,45,16,1-0
36,7,42,7,1-0
33,6,40,10,1-0
37,5,31,5,0-1
37,7,46,17,1/2-1/2
33,5,35,5,1/2-1/2
37,6,32,4,1-0
38,6,30,5,0-1
34,7,37,7,1-0
36,4,38,6,1/2-1/2
37,9,53,12,1/2-1/2
33,10,50,16,1/2-1/2
35,17,44,22,1-0
35,3,40,7,1/2-1/2
39,9,39,11,1/2-1/2
37,11,41,13,1-0
36,11,50,18,1-0
39,5,39,9,1/2-1/2
32,3,36,5,1/2-1/2
22,8,28,3,0-1
31,7,31,6,1/2-1/2
34,6,43,10,1-0
33,9,49,15,1-0
35,4,42,8,1/2-1/2
25,4,42,10,0-1
38,9,47,15,1/2-1/2
32,11,38,14,1/2-1/2
35,6,34,6,1/2-1/2
35,6,38,4,1-0
35,10,44,13,1/2-1/2
39,5,32,7,0-1
37,3,38,8,1-0
32,8,41,6,0-1
32,7,40,16,1/2-1/2
25,7,40,11,0-1
38,8,38,13,1/2-1/2
35,4,38,7,1/2-1/2
23,4,38,7,1/2-1/2
34,12,44,13,1/2-1/2
37,4,41,6,1-0
38,3,51,9,1-0
38,12,40,9,1-0
37,7,46,19,1-0
38,4,49,12,1-0
35,3,37,4,0-1
31,7,51,12,1-0
39,5,35,5,1/2-1/2
35,7,41,9,1/2-1/2
39,5,33,7,1/2-1/2
32,8,48,15,1/2-1/2
38,3,46,10,1/2-1/2
33,7,38,7,1-0
33,8,34,12,0-1
36,5,41,9,1/2-1/2
35,7,42,15,1-0
33,4,35,1,1/2-1/2
33,6,26,1,1-0
35,4,38,6,1-0
35,4,43,9,1/2-1/2
34,10,51,20,1-0
35,2,37,9,1-0
35,3,44,7,0-1
20,7,18,3,1/2-1/2
35,6,44,10,1/2-1/2
35,8,28,5,1/2-1/2
35,5,36,6,1-0
34,10,44,15,1/2-1/2
37,8,42,12,1-0
38,4,45,8,1/2-1/2
39,5,30,6,0-1
38,9,40,9,1/2-1/2
38,3,30,4,1-0
35,14,46,13,1/2-1/2
38,8,44,13,1-0
36,7,34,9,1/2-1/2
33,6,36,8,1/2-1/2
39,3,35,6,0-1
35,10,49,14,0-1
35,8,38,8,0-1
35,8,44,8,1/2-1/2
34,12,49,11,1/2-1/2
31,14,40,12,1/2-1/2
34,9,52,18,1-0
30,22,28,2,1/2-1/2
39,6,27,3,1-0
38,8,40,9,0-1
35,5,29,7,0-1
27,5,29,3,1/2-1/2
35,5,35,6,1-0
38,6,47,7,1/2-1/2
37,6,48,10,1-0
33,19,48,17,1/2-1/2
36,13,33,12,1/2-1/2
31,7,40,10,1-0
37,22,60,33,1-0
34,6,48,12,0-1
35,7,44,8,1-0
30,4,38,4,0-1
33,7,34,8,1/2-1/2
26,3,32,8,1/2-1/2
35,7,36,3,0-1
25,7,34,8,0-1
26,5,27,7,1/2-1/2
31,5,41,9,0-1
36,3,38,4,1-0
36,6,39,5,0-1
34,11,48,15,0-1
35,4,30,5,1-0
35,9,41,7,1-0
31,9,39,9,1-0
35,3,33,5,1-0
35,13,46,12,1/2-1/2
34,10,47,14,1/2-1/2
33,4,35,3,1/2-1/2
37,6,45,13,1/2-1/2
38,8,46,16,1/2-1/2
35,5,36,9,0-1
33,4,38,5,1/2-1/2
31,8,44,9,1-0
33,6,41,6,0-1
32,11,35,5,1-0
32,7,32,6,0-1
29,8,31,2,0-1
35,6,42,10,1/2-1/2
35,5,44,7,1/2-1/2
31,10,33,3,1/2-1/2
34,11,46,13,1/2-1/2
38,6,39,7,1/2-1/2
35,12,49,22,1-0
38,4,35,7,0-1
35,6,38,8,1-0
33,7,38,13,1/2-1/2
32,7,28,5,1-0
38,3,28,2,0-1
30,11,38,18,1/2-1/2
30,8,37,6,1/2-1/2
35,7,44,12,1/2-1/2
34,8,47,13,1-0
38,4,42,5,1/2-1/2
32,4,38,3,1/2-1/2
33,9,47,15,1-0
34,7,46,13,1-0
34,4,47,10,1/2-1/2
33,13,43,17,0-1
35,7,36,6,1/2-1/2
38,11,47,22,1/2-1/2
31,7,35,7,1-0
35,5,33,7,0-1
38,5,38,10,1-0
34,4,31,4,1/2-1/2
23,4,24,2,0-1
34,12,40,11,1-0
34,9,44,11,1-0
35,7,38,8,1/2-1/2
38,3,39,8,1-0
37,3,45,11,1-0
35,7,36,6,1-0
34,6,45,11,0-1
30,14,49,14,1/2-1/2
25,5,33,10,1/2-1/2
35,3,32,5,1/2-1/2
20,11,31,7,1/2-1/2
32,9,35,11,0-1
35,2,37,6,0-1
34,9,43,8,0-1
38,3,42,7,0-1
38,3,26,2,0-1
38,8,33,6,1-0
23,10,47,15,1-0
30,4,34,7,0-1
35,5,38,12,1-0
35,4,40,5,0-1
38,9,47,17,1/2-1/2
38,3,42,8,1-0
36,4,39,7,1-0
34,6,40,10,0-1
32,5,39,10,1/2-1/2
35,4,35,5,1/2-1/2
22,3,39,4,1-0
34,10,40,11,1-0
38,6,38,8,0-1
34,7,39,10,1-0
39,5,38,8,0-1
30,5,33,6,0-1
39,4,38,4,0-1
24,4,28,4,1-0
38,6,34,4,0-1
32,6,35,2,1/2-1/2
22,11,30,2,0-1
38,5,29,4,0-1
34,10,44,11,0-1
37,10,46,16,1-0
26,8,34,8,1-0
39,1,38,6,1-0
35,3,35,6,0-1
38,8,43,10,1/2-1/2
38,9,47,15,1/2-1/2
30,7,41,14,1-0
36,10,40,12,1/2-1/2
35,8,28,5,0-1
34,9,48,12,1-0
26,8,34,8,1/2-1/2
22,4,28,4,1/2-1/2
28,8,42,12,1-0
36,3,32,4,0-1
35,6,41,10,0-1
25,4,32,4,1/2-1/2
34,7,42,11,1/2-1/2
39,4,50,12,1/2-1/2
31,19,46,20,1-0
32,5,33,2,1-0
38,12,34,5,1/2-1/2
32,9,34,15,0-1
38,5,42,11,1/2-1/2
39,5,39,9,1-0
35,8,40,7,1/2-1/2
35,5,38,7,1/2-1/2
35,8,43,11,1/2-1/2
38,1,39,6,1-0
32,6,36,5,0-1
36,6,37,5,1-0
35,6,38,7,0-1
30,5,45,13,1/2-1/2
36,6,40,6,1-0
32,7,36,4,1/2-1/2
38,4,40,8,1-0
36,4,39,6,1/2-1/2
38,10,42,9,0-1
35,5,39,6,0-1
32,5,37,7,1/2-1/2
38,7,44,12,1-0
32,5,40,1,0-1
34,18,39,9,1-0
35,5,33,6,0-1
34,14,37,7,1-0
35,5,34,4,1/2-1/2
32,9,42,12,1-0
35,6,43,6,1/2-1/2
29,7,39,6,1-0
31,6,28,1,1/2-1/2
30,5,36,13,1/2-1/2
32,4,47,14,1-0
35,5,29,7,0-1
38,11,47,16,1/2-1/2
32,19,46,18,1-0
32,6,40,6,1/2-1/2
34,7,46,13,1/2-1/2
37,11,51,18,1-0
35,8,38,14,1-0
35,4,40,10,1-0
35,5,40,11,1-0
33,15,42,19,1/2-1/2
34,8,47,8,1/2-1/2
38,5,47,10,1/2-1/2
33,9,32,3,0-1
37,11,37,9,0-1
34,8,44,9,1-0
34,7,44,10,1/2-1/2
35,8,48,16,1/2-1/2
33,7,36,7,1/2-1/2
31,15,44,12,1/2-1/2
37,4,50,11,1-0
37,13,41,6,0-1
31,5,42,8,1/2-1/2
37,7,39,9,1-0
35,10,42,13,1/2-1/2
34,4,43,8,1/2-1/2
31,5,43,10,1-0
38,4,38,8,1-0
35,7,50,13,1/2-1/2
29,5,49,9,1-0
34,4,40,3,1/2-1/2
21,15,38,13,0-1
34,10,50,15,0-1
37,5,40,6,1/2-1/2
37,5,39,10,1/2-1/2
32,3,39,3,1-0
29,4,32,8,1/2-1/2
33,3,34,4,1-0
38,5,33,3,1/2-1/2
31,8,43,10,0-1
32,4,49,10,1-0
37,7,32,1,1-0
39,7,37,9,1-0
32,6,41,7,1/2-1/2
32,9,47,15,1/2-1/2
35,10,34,8,1-0
34,7,48,16,1/2-1/2
34,5,40,10,1-0
37,6,47,12,1-0
32,4,44,10,1-0
23,6,43,7,1/2-1/2
38,10,35,5,0-1
37,10,47,15,0-1
38,6,47,9,0-1
31,12,39,13,1-0
39,4,32,6,1-0
34,5,44,7,1/2-1/2
35,4,29,1,1-0
39,6,38,8,1-0
39,5,37,8,1-0
39,4,29,2,1-0
34,12,49,17,1-0
29,5,36,6,1-0
31,8,47,12,1-0
33,11,43,11,1-0
38,11,53,17,1/2-1/2
36,2,27,2,0-1
36,6,34,5,1-0
23,8,34,11,1-0
36,4,40,7,0-1
35,9,41,12,1/2-1/2
38,3,47,9,1/2-1/2
33,6,39,10,0-1
35,9,30,3,1/2-1/2
35,9,39,9,1-0
37,6,36,11,0-1
32,8,39,11,1-0
34,12,43,15,1-0
32,9,38,8,1-0
31,12,42,11,1/2-1/2
34,11,44,14,1-0
35,6,38,9,1-0
38,6,40,8,0-1
36,6,40,5,1-0
33,5,32,2,1/2-1/2
33,19,50,23,0-1
31,3,39,12,0-1
38,7,42,7,1/2-1/2
35,7,35,7,1/2-1/2
35,18,46,15,1/2-1/2
31,15,45,19,0-1
38,7,39,8,1-0
34,5,42,11,1/2-1/2
38,2,30,2,0-1
30,6,45,11,1-0
32,7,44,12,0-1
35,8,41,9,0-1
32,9,49,13,0-1
26,10,27,9,1/2-1/2
35,8,52,13,1/2-1/2
24,4,28,3,1-0
35,6,41,12,1/2-1/2
34,8,41,10,1/2-1/2
35,7,40,9,1/2-1/2
37,5,49,16,1-0
35,4,41,5,1-0
31,11,40,13,1/2-1/2
38,6,41,9,0-1
38,9,35,10,1-0
37,3,32,4,0-1
37,10,44,9,0-1
35,11,34,6,1-0
35,7,46,9,0-1
34,4,34,3,1-0
35,8,42,10,1/2-1/2
26,5,29,5,0-1
36,8,43,7,1-0
38,5,41,10,1/2-1/2
38,10,46,18,1/2-1/2
35,3,40,10,1/2-1/2
38,5,39,5,1-0
26,4,24,4,1/2-1/2
37,14,55,20,1/2-1/2
38,3,34,7,1-0
28,4,41,10,0-1
35,6,40,8,1/2-1/2
32,4,38,6,0-1
38,4,43,10,1-0
34,13,45,14,0-1
26,4,37,11,0-1
35,6,41,11,0-1
32,4,41,8,0-1
32,7,31,5,1-0
31,5,29,2,0-1
38,6,40,10,1-0
35,8,44,12,0-1
34,7,48,16,1/2-1/2
36,4,33,4,1/2-1/2
39,6,34,7,1/2-1/2
24,3,23,2,1/2-1/2
36,8,37,12,1/2-1/2
35,5,28,3,1-0
35,5,46,10,1-0
38,8,34,4,0-1
26,4,38,8,0-1
24,4,27,4,1/2-1/2
32,10,42,11,1-0
33,4,50,15,1-0
32,7,41,6,0-1
36,7,47,9,1/2-1/2
31,10,38,10,1/2-1/2
34,8,49,17,1/2-1/2
36,6,43,5,0-1
35,7,39,8,1-0
35,8,42,7,1/2-1/2
38,3,48,7,1/2-1/2
35,6,42,8,1-0
23,5,29,1,1/2-1/2
32,13,44,13,0-1
34,6,48,11,1/2-1/2
30,7,43,14,1-0
33,5,41,6,0-1
31,5,36,6,1-0
38,8,38,6,0-1
33,2,33,2,1/2-1/2
38,4,45,9,1/2-1/2
35,4,39,7,1-0
35,8,28,5,1/2-1/2
35,4,40,7,1-0
38,12,51,15,1/2-1/2
38,6,47,11,1-0
34,4,44,13,1-0
38,7,46,8,1-0
35,5,48,12,1/2-1/2
34,12,41,15,1-0
38,3,28,4,1/2-1/2
38,1,28,1,1/2-1/2
32,7,41,9,1/2-1/2
36,5,32,6,1-0
37,5,44,13,1/2-1/2
32,13,36,9,1-0
32,8,44,9,1/2-1/2
32,7,40,6,1/2-1/2
36,6,40,12,1-0
34,5,41,10,0-1
34,7,47,15,1/2-1/2
35,8,48,12,1-0
37,5,41,7,1-0
31,5,43,7,1/2-1/2
38,6,37,8,1-0
34,7,39,12,1/2-1/2
34,10,47,13,1-0
39,11,33,8,1/2-1/2
37,11,51,16,0-1
36,9,36,10,1-0
23,7,36,7,0-1
33,3,22,2,1-0
35,7,38,7,0-1
35,9,45,11,0-1
35,6,47,13,1-0
37,5,49,11,1/2-1/2
38,7,42,5,1/2-1/2
38,9,41,12,1-0
35,1,38,3,0-1
34,13,38,9,1-0
35,17,42,10,1-0
37,7,40,7,1-0
35,7,49,13,1-0
38,4,35,5,1-0
35,6,45,10,1-0
32,5,36,4,0-1
38,6,42,6,0-1
36,4,37,7,1/2-1/2
31,7,38,7,1-0
32,6,38,8,1/2-1/2
29,20,40,25,1-0
36,7,37,9,0-1
35,3,42,8,1-0
36,3,33,3,1/2-1/2
35,5,32,6,1-0
35,4,36,3,0-1
34,7,46,13,1/2-1/2
39,4,27,3,1/2-1/2
32,6,37,5,1/2-1/2
38,9,46,8,0-1
37,13,46,18,1/2-1/2
37,7,45,11,1/2-1/2
35,10,39,15,1/2-1/2
32,3,25,3,0-1
38,8,40,11,1/2-1/2
30,7,40,12,0-1
36,6,35,4,1-0
34,13,41,14,1/2-1/2
33,6,33,6,1-0
38,5,37,6,1/2-1/2
33,5,38,5,1/2-1/2
26,5,34,6,1-0
36,6,40,5,0-1
34,9,40,10,1/2-1/2
34,4,44,8,0-1
21,14,28,5,1/2-1/2
37,5,47,13,1-0
38,4,43,8,0-1
35,9,43,12,1-0
32,3,36,5,1/2-1/2
29,6,35,5,0-1
35,4,33,6,1/2-1/2
34,4,37,5,1/2-1/2
32,7,40,6,1/2-1/2
38,5,32,5,1/2-1/2
35,4,38,9,1/2-1/2
32,8,38,10,1/2-1/2
35,1,42,5,1/2-1/2
35,6,35,8,1-0
31,7,37,7,1/2-1/2
35,4,42,7,1-0
34,7,31,5,1-0
39,8,37,7,0-1
29,4,49,15,1/2-1/2
36,5,32,6,1/2-1/2
36,5,39,5,1-0
38,8,43,16,1-0
35,3,29,3,0-1
39,11,29,7,0-1
36,4,32,3,1/2-1/2
37,14,48,14,1-0
38,2,27,1,0-1
33,10,57,25,0-1
27,2,28,0,1/2-1/2
39,7,34,8,1/2-1/2
32,4,38,4,1-0
17,6,28,4,1/2-1/2
32,7,40,9,1-0
32,7,41,6,1-0
38,7,44,7,1/2-1/2
34,9,51,17,1-0
35,6,39,9,1/2-1/2
26,3,42,8,1-0
36,3,27,1,1/2-1/2
39,5,30,3,1-0
38,3,33,5,1/2-1/2
35,5,31,2,1-0
38,6,37,8,0-1
31,5,34,7,1/2-1/2
29,3,36,6,1/2-1/2
33,6,49,12,1-0
35,3,31,5,1/2-1/2
25,5,44,10,1-0
30,3,40,7,0-1
18,11,30,12,1-0
31,10,37,5,1-0
38,10,40,10,0-1
35,5,43,12,0-1
37,12,47,16,1/2-1/2
32,3,31,3,1-0
35,6,46,9,1/2-1/2
38,7,41,6,1-0
34,11,55,20,0-1
35,16,41,16,1-0
31,6,31,3,0-1
34,10,38,8,1-0
35,4,42,5,1/2-1/2
35,7,49,14,1-0
19,11,28,2,1/2-1/2
32,4,43,12,1/2-1/2
35,7,46,12,1-0
30,2,24,2,1-0
35,6,31,5,0-1
33,6,35,6,1/2-1/2
33,4,45,8,1/2-1/2
29,7,40,5,1/2-1/2
38,8,36,9,1-0
35,3,27,2,1/2-1/2
23,3,35,5,1-0
34,11,42,14,1-0
38,8,28,0,0-1
35,3,48,9,1/2-1/2
33,6,49,14,0-1
31,7,34,9,1/2-1/2
25,7,50,9,0-1
39,5,35,6,1-0
34,16,48,20,1/2-1/2
38,7,42,12,1/2-1/2
38,2,45,6,1-0
33,5,40,10,0-1
39,7,28,2,1-0
29,5,27,3,1/2-1/2
36,5,32,4,1/2-1/2
33,3,32,2,0-1
37,14,57,22,0-1
35,4,44,11,1-0
36,5,34,3,0-1
38,8,46,9,1-0
37,7,41,13,0-1
35,4,42,8,1-0
33,1,30,10,1-0
32,11,44,10,1-0
39,6,36,7,1-0
34,14,46,10,0-1
36,8,30,6,1/2-1/2
38,6,43,9,1/2-1/2
37,7,37,8,1-0
37,8,48,13,1-0
29,9,45,18,1-0
28,8,40,13,1/2-1/2
37,14,48,14,1/2-1/2
38,8,41,8,0-1
34,4,48,13,1-0
33,9,38,4,1/2-1/2
37,11,47,15,1/2-1/2
35,13,40,11,1/2-1/2
32,8,50,15,1/2-1/2
37,11,41,12,1-0
35,6,42,13,1/2-1/2
38,6,41,9,1-0
36,8,39,9,1-0
32,8,43,10,0-1
35,9,45,12,0-1
35,6,39,9,1-0
31,8,36,9,0-1
34,4,47,14,1-0
36,7,45,10,1-0
38,9,39,9,1/2-1/2
38,11,38,15,1/2-1/2
31,7,36,8,1/2-1/2
37,6,45,11,1-0
37,5,46,11,1-0
32,5,41,5,1-0
37,13,47,16,1/2-1/2
29,11,39,18,1-0
35,5,43,10,1/2-1/2
34,4,42,6,1/2-1/2
31,7,41,8,1/2-1/2
37,7,38,10,0-1
26,7,43,12,1-0
36,6,37,6,0-1
34,17,43,10,1/2-1/2
32,8,44,10,0-1
32,11,35,10,1-0
34,10,54,14,1/2-1/2
29,10,45,18,1-0
35,9,42,9,1-0
32,5,33,5,0-1
23,6,35,5,0-1
32,14,34,16,1/2-1/2
34,6,35,9,1/2-1/2
39,6,29,1,1-0
35,4,43,6,0-1
37,7,40,8,1/2-1/2
34,6,37,11,1/2-1/2
31,18,48,19,1-0
35,5,44,9,1/2-1/2
39,6,34,5,0-1
34,8,38,11,1/2-1/2
32,5,37,4,1/2-1/2
37,6,33,4,1-0
34,12,52,18,1/2-1/2
35,6,33,8,1/2-1/2
28,13,30,14,0-1
32,5,33,2,1/2-1/2
39,5,35,4,1/2-1/2
38,9,42,15,1-0
35,6,45,10,1-0
37,12,40,16,1-0
36,4,40,5,1/2-1/2
26,3,43,10,1/2-1/2
39,10,39,12,1-0
38,8,49,19,1-0
33,5,37,5,0-1
35,6,43,9,0-1
34,3,31,3,0-1
21,11,31,9,1-0
38,4,35,7,1-0
37,10,44,15,1-0
28,9,43,13,1-0
35,6,46,8,1-0
36,10,38,11,1/2-1/2
29,8,46,15,1-0
34,15,55,19,1-0
34,8,37,4,0-1
18,3,19,2,1/2-1/2
33,9,44,12,1/2-1/2
30,6,31,4,1/2-1/2
34,3,34,8,0-1
28,6,37,11,1-0
38,4,38,6,1/2-1/2
32,5,34,5,1-0
30,14,36,16,1-0
32,4,41,7,1/2-1/2
37,7,50,17,0-1
37,9,47,14,1-0
26,5,39,6,1/2-1/2
39,6,36,6,1-0
33,7,37,4,1-0
38,3,38,3,1/2-1/2
35,4,32,4,1/2-1/2
29,5,32,1,0-1
34,14,49,22,1-0
35,7,38,10,0-1
35,3,36,4,1-0
37,8,40,8,0-1
38,5,41,8,1-0
38,1,28,2,1-0
32,9,36,10,1-0
38,10,46,12,1/2-1/2
38,8,44,8,1/2-1/2
34,8,43,10,1-0
34,10,42,11,1/2-1/2
35,7,41,12,0-1
31,20,40,17,1/2-1/2
33,5,34,4,1-0
36,4,31,0,1-0
35,6,46,15,1-0
36,5,30,2,1-0
35,6,48,11,1/2-1/2
39,4,39,7,1/2-1/2
23,8,34,12,1/2-1/2
34,7,49,12,0-1
38,4,43,11,0-1
39,5,45,8,1/2-1/2
31,9,52,16,0-1
34,5,39,6,1/2-1/2
34,5,40,9,1/2-1/2
30,5,43,12,1-0
35,5,41,9,1/2-1/2
34,4,38,9,1/2-1/2
38,5,41,8,1/2-1/2
31,8,34,5,1/2-1/2
33,5,35,6,0-1
33,8,34,4,0-1
32,4,42,7,1-0
38,1,35,4,0-1
37,8,48,14,1/2-1/2
22,6,36,6,1/2-1/2
31,7,34,6,0-1
33,3,38,5,0-1
36,13,41,11,1/2-1/2
32,12,37,13,1-0
33,11,32,11,0-1
35,9,44,10,1/2-1/2
38,3,39,8,1-0
32,12,43,14,0-1
34,6,48,14,1-0
37,3,36,6,1/2-1/2
36,4,34,2,1-0
34,10,45,17,1-0
34,7,47,10,1/2-1/2
25,7,29,8,1/2-1/2
35,8,46,13,1/2-1/2
35,10,48,18,0-1
29,11,33,9,1/2-1/2
31,19,36,10,1-0
23,4,38,10,1/2-1/2
33,6,41,5,0-1
35,8,46,11,1/2-1/2
36,5,33,5,1-0
38,6,33,8,1/2-1/2
35,3,32,3,1/2-1/2
22,6,36,10,1-0
31,14,41,20,1-0
30,9,44,10,1/2-1/2
39,4,35,7,1-0
38,6,37,7,0-1
33,4,34,5,1/2-1/2
36,7,37,8,1/2-1/2
31,22,49,27,1/2-1/2
35,4,40,5,1/2-1/2
36,3,27,3,1-0
32,5,29,5,1/2-1/2
31,9,37,9,1/2-1/2
34,5,40,10,1-0
37,4,42,11,0-1
31,12,36,19,1-0
36,2,37,3,1/2-1/2
35,3,36,7,1/2-1/2
32,11,42,16,1/2-1/2
